year,day,time,speed_ms
2006,23,1318,18.78
2006,23,1348,19.67
2006,23,1418,19.22
2006,23,1448,18.33
2006,23,1518,16.99
2006,23,1548,17.43
2006,23,1618,15.20
2006,23,1648,15.20
2006,23,1718,15.20
2006,23,1748,15.65
2006,23,1818,15.20
2006,23,1848,13.86
2006,23,1918,15.65
2006,23,1948,16.09
2006,23,2018,12.96
2006,23,2048,12.07
2006,23,2118,13.41
2006,23,2148,10.73
2006,23,2218,14.31
2006,23,2248,17.43
2006,23,2318,20.12
2006,23,2348,16.99
2006,24,18,18.33
2006,24,48,21.01
2006,24,118,22.35
2006,24,148,21.46
2006,24,218,20.56
2006,24,248,23.25
2006,24,318,20.12
2006,24,348,15.20
2006,24,418,11.62
2006,24,448,13.41
2006,24,518,12.96
2006,24,548,16.09
2006,24,618,16.99
2006,24,648,16.54
2006,24,718,19.22
2006,24,748,18.33
2006,24,818,16.09
2006,24,848,13.41
2006,24,918,13.41
2006,24,948,14.75
2006,24,1018,10.28
2006,24,1048,9.83
2006,24,1118,11.62
2006,24,1148,11.62
2006,24,1218,12.52
2006,24,1248,9.39
2006,24,1318,9.39
2006,24,1348,8.94
2006,24,1418,10.73
2006,24,1448,9.39
2006,24,1518,7.60
2006,24,1548,8.49
2006,24,1618,7.60
2006,24,1648,9.39
2006,24,1718,8.49
2006,24,1748,8.49
2006,24,1818,8.49
2006,24,1848,8.05
2006,24,1918,8.05
2006,24,1948,8.49
2006,24,2018,8.05
2006,24,2048,8.05
2006,24,2118,7.60
2006,24,2148,7.15
2006,24,2218,6.26
2006,24,2248,3.13
2006,24,2318,4.02
2006,24,2348,4.02
2006,25,18,5.81
2006,25,48,4.02
2006,25,118,5.81
2006,25,148,5.36
2006,25,218,6.26
2006,25,248,6.26
2006,25,318,5.81
2006,25,348,5.36
2006,25,418,5.36
2006,25,448,4.92
2006,25,518,7.15
2006,25,548,6.26
2006,25,618,7.15
2006,25,648,8.05
2006,25,718,9.83
2006,25,748,10.73
2006,25,818,12.07
2006,25,848,11.18
2006,25,918,11.18
2006,25,948,9.39
2006,25,1018,7.15
2006,25,1048,7.60
2006,25,1118,7.60
2006,25,1148,8.94
2006,25,1218,8.94
2006,25,1248,8.94
2006,25,1318,9.39
2006,25,1348,9.83
2006,25,1418,8.94
2006,25,1448,7.60
2006,25,1518,8.94
2006,25,1548,5.81
2006,25,1618,4.92
2006,25,1648,5.81
2006,25,1718,5.81
2006,25,1748,4.92
2006,25,1818,6.26
2006,25,1848,4.47
2006,25,1918,4.47
2006,25,1948,4.47
2006,25,2018,6.26
2006,25,2048,5.36
2006,25,2118,6.26
2006,25,2148,5.36
2006,25,2218,4.02
2006,25,2248,3.58
2006,25,2318,3.58
2006,25,2348,3.58
2006,26,18,3.58
2006,26,48,4.02
2006,26,118,2.24
2006,26,148,2.68
2006,26,218,4.02
2006,26,248,4.02
2006,26,318,1.79
2006,26,348,0.89
2006,26,418,0.89
2006,26,448,0.89
2006,26,518,2.24
